month,GFund,FFund,CFund,SFund,IFund
Jan-1988,0.69,-0.06,-0.2,,
Feb-1988,0.62,0.81,4.82,,
Mar-1988,0.66,-0.8,-3.47,,
Apr-1988,0.68,-0.46,0.73,,
May-1988,0.71,-0.63,1.42,,
Jun-1988,0.72,1.97,4.08,,
Jul-1988,0.72,-0.49,-0.24,,
Aug-1988,0.76,0.33,-2.74,,
Sep-1988,0.76,2.07,4.12,,
Oct-1988,0.75,1.68,2.53,,
Nov-1988,0.68,-1.09,-1.23,,
Dec-1988,0.74,0.31,1.78,,
Jan-1989,0.76,1.27,7.14,,
Feb-1989,0.67,-0.68,-2.51,,
Mar-1989,0.78,0.5,2.21,,
Apr-1989,0.75,2.05,5.14,,
May-1989,0.76,2.42,3.98,,
Jun-1989,0.7,3.19,-0.58,,
Jul-1989,0.69,2.06,8.83,,
Aug-1989,0.66,-1.48,1.98,,
Sep-1989,0.68,0.37,-0.29,,
Oct-1989,0.71,2.45,-2.33,,
Nov-1989,0.65,0.86,2.05,,
Dec-1989,0.67,0.16,2.37,,
Jan-1990,0.68,-1.38,-6.59,,
Feb-1990,0.64,0.21,1.26,,
Mar-1990,0.72,0.01,2.64,,
Apr-1990,0.71,-0.94,-2.52,,
May-1990,0.76,2.8,9.44,,
Jun-1990,0.71,1.56,-0.71,,
Jul-1990,0.72,1.24,-0.36,,
Aug-1990,0.72,-1.42,-8.65,,
Sep-1990,0.73,0.81,-4.85,,
Oct-1990,0.76,1.32,-0.46,,
Nov-1990,0.7,2.15,6.36,,
Dec-1990,0.7,1.46,2.72,,
Jan-1991,0.69,1.15,4.55,,
Feb-1991,0.62,0.86,7.07,,
Mar-1991,0.68,0.67,2.4,,
Apr-1991,0.66,1.05,0.18,,
May-1991,0.68,0.57,4.3,,
Jun-1991,0.66,-0.01,-4.49,,
Jul-1991,0.69,1.4,4.63,,
Aug-1991,0.69,2.12,2.37,,
Sep-1991,0.64,1.99,-1.63,,
Oct-1991,0.62,1.09,1.39,,
Nov-1991,0.61,0.89,-3.96,,
Dec-1991,0.62,2.96,11.41,,
Jan-1992,0.57,-1.35,-1.89,,
Feb-1992,0.56,0.66,1.29,,
Mar-1992,0.62,-0.53,-1.91,,
Apr-1992,0.62,0.67,2.91,,
May-1992,0.64,1.84,0.49,,
Jun-1992,0.6,1.36,-1.45,,
Jul-1992,0.6,2,4.11,,
Aug-1992,0.57,1,-2.02,,
Sep-1992,0.54,1.15,1.15,,
Oct-1992,0.55,-1.3,0.42,,
Nov-1992,0.56,0.01,3.39,,
Dec-1992,0.58,1.54,1.21,,
Jan-1993,0.58,1.88,0.86,,
Feb-1993,0.49,1.73,1.35,,
Mar-1993,0.52,0.41,2.09,,
Apr-1993,0.51,0.67,-2.39,,
May-1993,0.51,0.1,2.66,,
Jun-1993,0.51,1.79,0.32,,
Jul-1993,0.49,0.55,-0.38,,
Aug-1993,0.49,1.72,3.78,,
Sep-1993,0.45,0.26,-0.76,,
Oct-1993,0.47,0.38,2.04,,
Nov-1993,0.45,-0.84,-0.93,,
Dec-1993,0.49,0.52,1.2,,
Jan-1994,0.51,1.33,3.4,,
Feb-1994,0.43,-1.72,-2.7,,
Mar-1994,0.52,-2.45,-4.39,,
Apr-1994,0.56,-0.81,1.28,,
May-1994,0.6,-0.02,1.66,,
Jun-1994,0.59,-0.24,-2.47,,
Jul-1994,0.62,1.97,3.27,,
Aug-1994,0.6,0.13,4.11,,
Sep-1994,0.59,-1.47,-2.44,,
Oct-1994,0.65,-0.1,2.24,,
Nov-1994,0.64,-0.23,-3.62,,
Dec-1994,0.68,0.69,1.49,,
Jan-1995,0.67,1.98,2.58,,
Feb-1995,0.59,2.38,3.87,,
Mar-1995,0.62,0.6,2.94,,
Apr-1995,0.6,1.38,2.94,,
May-1995,0.61,3.84,3.98,,
Jun-1995,0.53,0.71,2.31,,
Jul-1995,0.55,-0.23,3.3,,
Aug-1995,0.56,1.21,0.26,,
Sep-1995,0.53,0.95,4.19,,
Oct-1995,0.54,1.28,-0.36,,
Nov-1995,0.51,1.49,4.38,,
Dec-1995,0.5,1.39,1.92,,
Jan-1996,0.49,0.66,3.41,,
Feb-1996,0.46,-1.75,0.91,,
Mar-1996,0.54,-0.68,0.97,,
Apr-1996,0.54,-0.56,1.47,,
May-1996,0.58,-0.11,2.56,,
Jun-1996,0.57,1.34,0.38,,
Jul-1996,0.58,0.27,-4.39,,
Aug-1996,0.58,-0.18,2.07,,
Sep-1996,0.58,1.72,5.6,,
Oct-1996,0.58,2.21,2.74,,
Nov-1996,0.53,1.69,7.54,,
Dec-1996,0.53,-0.93,-1.97,,
Jan-1997,0.56,0.3,6.22,,
Feb-1997,0.51,0.24,0.79,,
Mar-1997,0.57,-1.11,-4.13,,
Apr-1997,0.58,1.49,6,,
May-1997,0.58,0.94,6.07,,
Jun-1997,0.56,1.18,4.45,,
Jul-1997,0.57,2.69,7.94,,
Aug-1997,0.53,-0.86,-5.59,,
Sep-1997,0.54,1.48,5.46,,
Oct-1997,0.54,1.45,-3.38,,
Nov-1997,0.5,0.46,4.61,,
Dec-1997,0.52,1.01,1.71,,
Jan-1998,0.51,1.28,1.12,,
Feb-1998,0.44,-0.07,7.2,,
Mar-1998,0.5,0.34,5.11,,
Apr-1998,0.49,0.52,1,,
May-1998,0.51,0.95,-1.72,,
Jun-1998,0.48,0.85,4.05,,
Jul-1998,0.49,0.21,-1.09,,
Aug-1998,0.49,1.66,-14.47,,
Sep-1998,0.44,2.36,6.33,,
Oct-1998,0.41,-0.52,8.19,,
Nov-1998,0.42,0.56,6.04,,
Dec-1998,0.43,0.3,5.76,,
Jan-1999,0.42,0.71,4.19,,
Feb-1999,0.38,-1.74,-3.09,,
Mar-1999,0.47,0.54,3.99,,
Apr-1999,0.46,0.29,3.86,,
May-1999,0.47,-0.89,-2.36,,
Jun-1999,0.49,-0.33,5.54,,
Jul-1999,0.52,-0.43,-3.14,,
Aug-1999,0.53,-0.05,-0.5,,
Sep-1999,0.51,1.15,-2.78,,
Oct-1999,0.53,0.38,6.34,,
Nov-1999,0.51,-0.01,2,,
Dec-1999,0.54,-0.45,5.9,,
Jan-2000,0.56,-0.34,-5.03,,
Feb-2000,0.53,1.22,-1.93,,
Mar-2000,0.55,1.32,9.74,,
Apr-2000,0.52,-0.29,-2.98,,
May-2000,0.54,-0.03,-2.05,,
Jun-2000,0.53,2.07,2.44,,
Jul-2000,0.53,0.89,-1.56,,
Aug-2000,0.52,1.46,6.19,,
Sep-2000,0.49,0.64,-5.27,,
Oct-2000,0.51,0.66,-0.4,,
Nov-2000,0.48,1.65,-7.87,,
Dec-2000,0.48,1.86,0.5,,
Jan-2001,0.46,1.65,3.55,5.44,-0.05
Feb-2001,0.42,0.87,-9.12,-12.15,-7.5
Mar-2001,0.45,0.51,-6.33,-9.18,-6.67
Apr-2001,0.43,-0.42,7.78,10.58,6.95
May-2001,0.47,0.61,0.65,1.42,-4.13
Jun-2001,0.47,0.39,-2.42,0.66,-3.99
Jul-2001,0.48,2.22,-0.98,-4.13,-1.79
Aug-2001,0.45,1.2,-6.27,-4.32,-2.58
Sep-2001,0.43,1.15,-8.05,-12.5,-9.95
Oct-2001,0.41,2.12,1.85,5.09,2.47
Nov-2001,0.37,-1.37,7.62,7.84,3.56
Dec-2001,0.42,-0.61,0.88,5.31,0.52
Jan-2002,0.45,0.79,-1.47,-2.02,-5.33
Feb-2002,0.4,0.98,-1.92,-2.64,0.66
Mar-2002,0.44,-1.66,3.73,6.83,5.82
Apr-2002,0.46,1.89,-6.06,-1.06,0.25
May-2002,0.45,0.88,-0.75,-2.39,1.29
Jun-2002,0.43,0.97,-7.1,-6.67,-3.87
Jul-2002,0.43,1.19,-7.7,-9.93,-9.99
Aug-2002,0.4,1.58,0.67,0.58,-0.26
Sep-2002,0.37,1.63,-10.87,-6.84,-10.75
Oct-2002,0.33,-0.44,8.77,3.38,5.42
Nov-2002,0.34,-0.01,5.87,6.76,4.49
Dec-2002,0.38,2.08,-5.85,-4.32,-3.27
Jan-2003,0.35,0.1,-2.67,-2.35,-4.24
Feb-2003,0.32,1.41,-1.49,-2.56,-2.29
Mar-2003,0.33,-0.05,0.97,1.55,-1.9
Apr-2003,0.33,0.83,8.26,8.31,9.82
May-2003,0.34,1.87,5.26,9.42,6.07
Jun-2003,0.2,-0.3,1.2,2.2,2.3
Jul-2003,0.3,-2.51,1.48,4.21,2.54
Aug-2003,0.4,-0.21,2.24,4.51,2.19
Sep-2003,0.4,2.68,-1.14,-1.35,3.08
Oct-2003,0.3,-1,5.68,7.65,6.06
Nov-2003,0.3,0.3,0.91,3.47,2.22
Dec-2003,0.49,1.01,5.24,2.04,7.68
Jan-2004,0.29,0.8,1.8,3.53,1.32
Feb-2004,0.39,1.09,1.35,1.78,2.22
Mar-2004,0.29,0.69,-1.5,0.38,0.6
Apr-2004,0.29,-2.54,-1.52,-3.94,-2.31
May-2004,0.39,-0.5,1.37,1.5,0.3
Jun-2004,0.38,0.6,1.86,2.72,2.89
Jul-2004,0.38,1,-3.24,-5.52,-3.76
Aug-2004,0.38,1.88,0.34,0,1
Sep-2004,0.38,0.29,1.11,3.92,2.05
Oct-2004,0.38,0.87,1.52,1.85,3.94
Nov-2004,0.28,-0.86,4.08,6.96,6.16
Dec-2004,0.38,0.97,3.36,4.17,4.38
Jan-2005,0.37,0.58,-2.4,-3.39,-1.87
Feb-2005,0.37,-0.57,2.06,2.04,4.34
Mar-2005,0.37,-0.48,-1.71,-1.86,-2.52
Apr-2005,0.37,1.35,-1.9,-3.72,-2.27
May-2005,0.37,1.05,3.15,6.05,-0.4
Jun-2005,0.28,0.56,0.16,3.37,1.86
Jul-2005,0.37,-0.84,3.67,5.59,3.07
Aug-2005,0.37,1.23,-0.9,-1.01,3.23
Sep-2005,0.36,-1.03,0.84,0.83,3.68
Oct-2005,0.36,-0.75,-1.66,-2.33,-2.9
Nov-2005,0.36,0.38,3.75,4.72,2.44
Dec-2005,0.45,0.95,0.07,0.37,4.64
Jan-2006,0.36,0.09,2.66,6.7,6.14
Feb-2006,0.36,0.28,0.22,-0.98,-0.27
Mar-2006,0.36,-0.93,1.29,3.84,3.33
Apr-2006,0.44,-0.19,1.35,0.34,4.83
May-2006,0.44,-0.09,-2.87,-4.36,-3.87
Jun-2006,0.44,0.19,0.07,0.47,0
Jul-2006,0.44,1.32,0.65,-2.79,0.98
Aug-2006,0.44,1.58,2.36,2.15,2.76
Sep-2006,0.35,0.82,2.58,0.88,0.15
Oct-2006,0.43,0.73,3.27,4.99,3.87
Nov-2006,0.43,1.08,1.91,3.54,2.96
Dec-2006,0.34,-0.54,1.42,0.11,3.11
Jan-2007,0.43,0,1.53,3.14,1.31
Feb-2007,0.34,1.53,-1.95,-0.26,0.18
Mar-2007,0.42,0,1.09,1.09,2.57
Apr-2007,0.42,0.53,4.43,2.51,3.76
May-2007,0.34,-0.7,3.52,4.4,2.54
Jun-2007,0.42,-0.27,-1.7,-1.53,0.2
Jul-2007,0.5,0.8,-3.1,-4.57,-2.39
Aug-2007,0.33,1.23,1.54,1.38,-0.71
Sep-2007,0.41,0.78,3.76,2.97,5.36
Oct-2007,0.41,0.86,1.58,2.83,4.49
Nov-2007,0.33,1.88,-4.2,-5.65,-3.72
Dec-2007,0.41,0.25,-0.66,-0.4,-2.25
Jan-2008,0.33,1.76,-5.98,-6.27,-8.52
Feb-2008,0.24,0.16,-3.28,-2.05,-0.66
Mar-2008,0.32,0.33,-0.46,-1.43,0.18
Apr-2008,0.24,-0.16,4.94,5.3,5.55
May-2008,0.32,-0.74,1.27,4.88,1.09
Jun-2008,0.32,-0.08,-8.41,-7.63,-8.15
Jul-2008,0.4,-0.01,-0.8,-0.79,-3.72
Aug-2008,0.33,0.92,1.46,2.17,-4.16
Sep-2008,0.31,-1.31,-8.94,-10.32,-12.31
Oct-2008,0.31,-2.4,-16.83,-20.99,-20.59
Nov-2008,0.31,3.3,-7.18,-11.13,-6.72
Dec-2008,0.24,3.73,1.07,4.68,7.66
Jan-2009,0.19,-0.86,-8.41,-8.19,-11.93
Feb-2009,0.21,-0.39,-10.64,-10.22,-10.23
Mar-2009,0.24,1.38,8.81,8.64,7.2
Apr-2009,0.21,0.49,9.58,15,12.13
May-2009,0.25,0.78,5.6,3.97,13.41
Jun-2009,0.27,0.54,0.24,0.73,-1.08
Jul-2009,0.28,1.59,7.58,8.66,9.74
Aug-2009,0.28,1.03,3.62,3.85,4.87
Sep-2009,0.26,1.07,3.74,5.94,3.79
Oct-2009,0.26,0.51,-1.86,-5.51,-2.41
Nov-2009,0.26,1.3,6,3.85,3.16
Dec-2009,0.25,-1.55,1.94,6.57,1.43
Jan-2010,0.29,1.54,-3.6,-2.43,-5.17
Feb-2010,0.24,0.38,3.11,4.89,0.06
Mar-2010,0.27,-0.11,6.04,7.39,6.28
Apr-2010,0.28,1.07,1.58,4.82,-2.35
May-2010,0.28,0.85,-7.99,-7.51,-11.2
Jun-2010,0.24,1.56,-5.24,-6.9,-1.75
Jul-2010,0.23,1.07,7.01,7,10.78
Aug-2010,0.22,1.28,-4.51,-5.59,-3.14
Sep-2010,0.17,0.17,8.92,11.47,9.81
Oct-2010,0.18,0.36,3.8,4.48,3.63
Nov-2010,0.17,-0.57,0.01,3,-4.84
Dec-2010,0.2,-1.05,6.68,7.38,8.12
Jan-2011,0.24,0.13,2.37,1.23,2.41
Feb-2011,0.22,0.26,3.42,4.52,3.33
Mar-2011,0.26,0.06,0.04,2.06,-2.23
Apr-2011,0.25,1.28,2.96,2.94,6.03
May-2011,0.25,1.31,-1.13,-1.27,-2.9
Jun-2011,0.21,-0.3,-1.67,-2.35,-1.16
Jul-2011,0.22,1.59,-2.04,-3.14,-1.6
Aug-2011,0.19,1.45,-5.44,-8.12,-9.03
Sep-2011,0.16,0.73,-7.03,-10.73,-10.55
Oct-2011,0.14,0.11,10.93,14.09,9.48
Nov-2011,0.14,0.01,-0.21,-0.51,-2.46
Dec-2011,0.15,1.01,1.04,-0.04,-2.03
Jan-2012,0.13,0.88,4.5,7.59,5.36
Feb-2012,0.12,0.05,4.34,3.99,5.14
Mar-2012,0.14,-0.61,3.3,2.3,0.13
Apr-2012,0.15,1.12,-0.62,-0.71,-1.87
May-2012,0.14,0.91,-5.99,-6.91,-11.4
Jun-2012,0.11,0.05,4.13,3.25,7.08
Jul-2012,0.12,1.38,1.4,-0.62,0.56
Aug-2012,0.11,0.07,2.25,3.57,3.29
Sep-2012,0.1,0.15,2.57,2.51,2.96
Oct-2012,0.12,0.2,-1.86,-1.31,0.85
Nov-2012,0.11,0.16,0.57,1.53,2.41
Dec-2012,0.12,-0.13,0.91,2.69,4.02
Jan-2013,0.13,-0.56,5.18,6.96,4.45
Feb-2013,0.13,0.51,1.36,1,-0.99
Mar-2013,0.13,0.07,3.75,4.69,0.88
Apr-2013,0.12,1.02,1.93,0.65,5.32
May-2013,0.12,-1.78,2.34,2.71,-3.12
Jun-2013,0.14,-1.53,-1.34,-0.99,-2.77
Jul-2013,0.18,0.13,5.1,6.88,5.29
Aug-2013,0.18,-0.48,-2.89,-2.76,-1.31
Sep-2013,0.19,0.99,3.14,5.89,7.41
Oct-2013,0.19,0.89,4.6,2.94,3.38
Nov-2013,0.18,-0.35,3.05,2.49,0.75
Dec-2013,0.19,-0.56,2.54,2.94,1.51
Jan-2014,0.21,1.58,-3.45,-1.91,-4.03
Feb-2014,0.18,0.62,4.58,5.43,5.58
Mar-2014,0.19,-0.15,0.85,-0.69,-0.57
Apr-2014,0.2,0.9,0.75,-2.47,1.51
May-2014,0.2,1.21,2.35,1.52,1.72
Jun-2014,0.19,0.14,2.07,4.45,0.99
Jul-2014,0.19,-0.19,-1.37,-4.38,-1.95
Aug-2014,0.2,1.12,4.01,4.98,-0.14
Sep-2014,0.18,-0.58,-1.4,-5.1,-3.82
Oct-2014,0.2,0.96,2.45,4.11,-0.63
Nov-2014,0.17,0.74,2.7,1.33,0.51
Dec-2014,0.18,0.21,-0.24,0.99,-4.13
Jan-2015,0.18,2.13,-2.99,-1.85,1.19
Feb-2015,0.13,-0.91,5.75,6.05,5.97
Mar-2015,0.16,0.47,-1.57,1.24,-1.43
Apr-2015,0.15,-0.28,0.96,-1.5,4.11
May-2015,0.17,-0.26,1.29,1.84,-0.42
Jun-2015,0.17,-1.07,-1.93,-0.71,-2.8
Jul-2015,0.19,0.74,2.1,-0.12,2.08
Aug-2015,0.18,-0.11,-6.03,-5.8,-7.36
Sep-2015,0.18,0.75,-2.47,-4.8,-5.02
Oct-2015,0.17,0.02,8.45,5.61,7.07
Nov-2015,0.17,-0.24,0.31,1.75,-0.86
Dec-2015,0.18,-0.3,-1.57,-3.91,-2.03
Jan-2016,0.19,1.49,-4.96,-8.72,-5.62
Feb-2016,0.15,0.68,-0.12,0.5,-2.82
Mar-2016,0.15,0.93,6.79,8.24,6.59
Apr-2016,0.14,0.41,0.39,1.73,1.89
May-2016,0.15,0.08,1.8,1.81,0.27
Jun-2016,0.15,1.8,0.26,-0.13,-3.33
Jul-2016,0.13,0.64,3.69,5.4,5.07
Aug-2016,0.13,-0.11,0.14,0.8,0.08
Sep-2016,0.13,-0.04,0.02,0.9,1.24
Oct-2016,0.14,-0.74,-1.82,-3.86,-2.03
Nov-2016,0.16,-2.35,3.71,7.95,-1.99
Dec-2016,0.2,0.16,1.98,1.81,3.44
Jan-2017,0.2,0.23,1.9,2.16,2.89
Feb-2017,0.18,0.71,3.97,2.45,1.44
Mar-2017,0.2,-0.01,0.12,-0.08,2.85
Apr-2017,0.2,0.81,1.03,1.15,2.62
May-2017,0.19,0.81,1.41,-0.77,3.76
Jun-2017,0.19,-0.09,0.62,2.33,-0.18
Jul-2017,0.19,0.43,2.05,1.11,2.88
Aug-2017,0.19,0.91,0.3,-0.41,-0.03
Sep-2017,0.17,-0.48,2.06,4.26,2.52
Oct-2017,0.19,0.07,2.33,1.41,1.54
Nov-2017,0.19,-0.11,3.07,2.9,1.06
Dec-2017,0.2,0.48,1.11,0.47,1.6
Jan-2018,0.2,-1.14,5.72,3.34,5
Feb-2018,0.21,-0.96,-3.69,-3.79,-5.07
Mar-2018,0.24,0.65,-2.55,0.69,-0.76
Apr-2018,0.23,-0.73,0.38,0.28,2.01
May-2018,0.24,0.73,2.41,4.85,-2.13
Jun-2018,0.24,-0.1,0.61,0.86,-1.2
Jul-2018,0.25,0.04,3.72,1.64,2.45
Aug-2018,0.26,0.67,3.26,4.57,-1.91
Sep-2018,0.24,-0.62,0.57,-1.76,0.91
Oct-2018,0.26,-0.78,-6.84,-10.06,-7.94
Nov-2018,0.26,0.62,2.04,1.92,-0.13
Dec-2018,0.26,1.84,-9.03,-10.7,-4.82
Jan-2019,0.23,1.07,8.01,11.64,6.6
Feb-2019,0.2,-0.06,3.21,4.98,2.55
Mar-2019,0.23,1.93,1.95,-1.03,0.71
Apr-2019,0.21,0.02,4.05,3.69,2.92
May-2019,0.21,1.77,-6.36,-6.99,-4.69
Jun-2019,0.19,1.26,7.04,6.8,5.94
Jul-2019,0.18,0.21,1.44,1.64,-2.09
Aug-2019,0.18,2.60,-1.59,-4.19,-1.77
Sep-2019,0.14,-0.54,1.87,1.06,2.87
Oct-2019,0.14,0.28,2.16,1.93,3.60
Nov-2019,0.14,-0.05,3.63,4.54,1.15
Dec-2019,0.16,-0.08,3.01,2.15,3.24
Jan-2020,0.17,1.91,-0.04,-0.62,-2.73
Feb-2020,0.128,1.819,-8.238,-8.009,-7.7359
Mar-2020,0.1055,-0.6442,-12.3974,-21.4035,-13.8742
Apr-2020,0.0701,1.7807,12.813,15.8132,6.4214
May-2020,0.0609,0.4587,4.7648,8.7882,4.4986
Jun-2020,0.0578,0.6307,1.9855,3.9999,3.4406
Jul-2020,0.0602,1.4901,5.6395,5.7089,2.3299