,month,contribution,LIncome,L2020,L2030,L2040,income_returns,2020_returns,2030_returns,2040_returns
0,Aug-2005,1166.67,0.17,0.15,0.07,0.07,1.0017,1.0015,1.0007,1.0007
1,Sep-2005,1166.67,0.52,1.06,1.17,1.35,1.0052,1.0106,1.0117,1.0135
2,Oct-2005,1166.67,-0.17,-1.34,-1.67,-1.9,0.9983,0.9866,0.9833,0.981
3,Nov-2005,1166.67,1.03,2.42,2.8,3.08,1.0103,1.0242,1.028,1.0308
4,Dec-2005,1166.67,0.59,1.11,1.22,1.32,1.0059,1.0111,1.0122,1.0132
5,Jan-2006,1250.0,1.1,2.92,3.4,3.84,1.011,1.0292,1.034,1.0384
6,Feb-2006,1250.0,0.25,0.07,0.0,-0.07,1.0025,1.0007,1.0,0.9993
7,Mar-2006,1250.0,0.67,1.56,1.71,1.98,1.0067,1.0156,1.0171,1.0198
8,Apr-2006,1250.0,0.74,1.47,1.62,1.75,1.0074,1.0147,1.0162,1.0175
9,May-2006,1250.0,-0.33,-2.06,-2.45,-2.87,0.9967,0.9794,0.9755,0.9713
10,Jun-2006,1250.0,0.33,0.28,0.27,0.26,1.0033,1.0028,1.0027,1.0026
11,Jul-2006,1250.0,0.49,0.35,0.2,0.13,1.0049,1.0035,1.002,1.0013
12,Aug-2006,1250.0,0.9,1.81,1.96,2.22,1.009,1.0181,1.0196,1.0222
13,Sep-2006,1250.0,0.73,1.17,1.33,1.41,1.0073,1.0117,1.0133,1.0141
14,Oct-2006,1250.0,1.04,2.51,2.94,3.28,1.0104,1.0251,1.0294,1.0328
15,Nov-2006,1250.0,0.79,1.78,2.03,2.32,1.0079,1.0178,1.0203,1.0232
16,Dec-2006,1250.0,0.63,1.17,1.18,1.31,1.0063,1.0117,1.0118,1.0131000000000001
17,Jan-2007,1291.67,0.63,1.22,1.42,1.53,1.0063,1.0122,1.0142,1.0153
18,Feb-2007,1291.67,0.16,-0.38,-0.49,-0.64,1.0016,0.9962,0.9951,0.9936
19,Mar-2007,1291.67,0.62,1.08,1.16,1.34,1.0062,1.0108,1.0116,1.0134
20,Apr-2007,1291.67,1.08,2.58,2.95,3.28,1.0108,1.0258,1.0295,1.0328
21,May-2007,1291.67,0.92,2.15,2.52,2.79,1.0092,1.0215,1.0252,1.0279
22,Jun-2007,1291.67,0.08,-0.54,-0.8,-0.92,1.0008,0.9946,0.992,0.9908
23,Jul-2007,1291.67,-0.23,-1.75,-2.13,-2.52,0.9977,0.9825,0.9787,0.9748
24,Aug-2007,1291.67,0.61,0.8,0.88,0.9,1.0061,1.008,1.0088,1.009
25,Sep-2007,1291.67,1.13,2.68,3.09,3.45,1.0113,1.0268,1.0309,1.0345
26,Oct-2007,1291.67,0.82,1.84,2.09,2.37,1.0082,1.0184,1.0209,1.0237
27,Nov-2007,1291.67,-0.44,-2.33,-2.94,-3.36,0.9956,0.9767,0.9706,0.9664
28,Dec-2007,1291.67,0.07,-0.54,-0.63,-0.82,1.0007,0.9946,0.9937,0.9918
29,Jan-2008,1291.67,-0.97,-3.9,-4.71,-5.37,0.9903,0.961,0.9529,0.9463
30,Feb-2008,1291.67,-0.22,-1.25,-1.51,-1.8,0.9978,0.9875,0.9849,0.982
31,Mar-2008,1291.67,0.23,-0.06,-0.18,-0.29,1.0023,0.9994,0.9982,0.9971
32,Apr-2008,1291.67,1.2,3.23,3.74,4.26,1.012,1.0323,1.0374,1.0426
33,May-2008,1291.67,0.59,1.23,1.48,1.65,1.0059,1.0123,1.0148,1.0165
34,Jun-2008,1291.67,-1.47,-4.97,-5.88,-6.7,0.9853,0.9503,0.9412,0.933
35,Jul-2008,1291.67,0.0,-0.82,-1.07,-1.31,1.0,0.9918,0.9893,0.9869
36,Aug-2008,1291.67,0.35,0.16,0.17,0.11,1.0035,1.0016,1.0017,1.0011
37,Sep-2008,1291.67,-1.75,-6.01,-7.24,-8.35,0.9825,0.9399,0.9276,0.9165
38,Oct-2008,1291.67,-3.44,-11.1,-13.4,-15.4,0.9656,0.889,0.866,0.846
39,Nov-2008,1291.67,-0.84,-3.91,-4.96,-5.85,0.9916,0.9609,0.9504,0.9415
40,Dec-2008,1291.67,1.21,2.82,3.24,3.63,1.0121,1.0282,1.0324,1.0363
41,Jan-2009,1375.0,-1.74,-5.58,-6.69,-7.67,0.9826,0.9442,0.9331,0.9233
42,Feb-2009,1375.0,-1.98,-6.22,-7.47,-8.52,0.9802,0.9378,0.9253,0.9148000000000001
43,Mar-2009,1375.0,2.06,5.35,6.3,7.08,1.0206,1.0535,1.063,1.0708
44,Apr-2009,1375.0,2.37,6.79,8.2,9.38,1.0237,1.0679,1.082,1.0938
45,May-2009,1375.0,1.7,4.66,5.45,6.19,1.017,1.0466,1.0545,1.0619
46,Jun-2009,1375.0,0.26,0.14,0.12,0.09,1.0026,1.0014,1.0012,1.0009
47,Jul-2009,1375.0,1.94,5.16,6.16,7.01,1.0194,1.0516,1.0616,1.0701
48,Aug-2009,1375.0,1.07,2.57,3.02,3.41,1.0107,1.0257,1.0302,1.0341
49,Sep-2009,1375.0,1.08,2.63,3.14,3.56,1.0108,1.0263,1.0314,1.0356
50,Oct-2009,1375.0,-0.26,-1.39,-1.81,-2.15,0.9974,0.9861,0.9819,0.9785
51,Nov-2009,1375.0,1.27,3.0,3.55,3.98,1.0127,1.03,1.0355,1.0398
52,Dec-2009,1375.0,0.59,1.5,1.85,2.12,1.0059,1.015,1.0185,1.0212
53,Jan-2010,1375.0,-0.45,-2.03,-2.49,-2.88,0.9955,0.9797,0.9751,0.9712
54,Feb-2010,1375.0,0.74,1.61,1.94,2.18,1.0074,1.0161,1.0194,1.0218
55,Mar-2010,1375.0,1.43,3.75,4.52,5.15,1.0143,1.0375,1.0452,1.0515
56,Apr-2010,1375.0,0.5,0.76,0.94,1.05,1.005,1.0076,1.0094,1.0105
57,May-2010,1375.0,-1.5,-4.98,-6.07,-6.97,0.985,0.9502,0.9393,0.9303
58,Jun-2010,1375.0,-0.61,-2.34,-2.98,-3.47,0.9939,0.9766,0.9702,0.9653
59,Jul-2010,1375.0,1.81,4.82,5.8,6.6,1.0181,1.0482,1.058,1.066
60,Aug-2010,1375.0,-0.63,-2.29,-2.88,-3.33,0.9937,0.9771,0.9712,0.9667
61,Sep-2010,1375.0,2.0,5.54,6.77,7.76,1.02,1.0554000000000001,1.0677,1.0776
62,Oct-2010,1375.0,0.92,2.29,2.78,3.16,1.0092,1.0229,1.0278,1.0316
63,Nov-2010,1375.0,-0.05,-0.49,-0.56,-0.64,0.9995,0.9951,0.9944,0.9936
64,Dec-2010,1375.0,1.49,4.08,4.96,5.67,1.0149,1.0408,1.0496,1.0567
65,Jan-2011,1375.0,0.63,1.35,1.57,1.75,1.0063,1.0135,1.0157,1.0175
66,Feb-2011,1375.0,0.9,2.15,2.6,2.95,1.009,1.0215,1.026,1.0295
67,Mar-2011,1375.0,0.17,-0.03,-0.05,-0.08,1.0017,0.9997,0.9995,0.9992
68,Apr-2011,1375.0,1.01,2.37,2.83,3.2,1.0101,1.0237,1.0283,1.032
69,May-2011,1375.0,-0.05,-0.74,-0.97,-1.15,0.9995,0.9926,0.9903,0.9885
70,Jun-2011,1375.0,-0.18,-0.84,-1.1,-1.3,0.9982,0.9916,0.989,0.987
71,Jul-2011,1375.0,-0.14,-0.94,-1.25,-1.49,0.9986,0.9906,0.9875,0.9851
72,Aug-2011,1375.0,-1.1,-3.69,-4.63,-5.37,0.989,0.9631,0.9537,0.9463
73,Sep-2011,1375.0,-1.51,-4.73,-5.92,-6.85,0.9849,0.9527,0.9408,0.9315
74,Oct-2011,1375.0,2.31,6.18,7.68,8.83,1.0231,1.0618,1.0768,1.0883
75,Nov-2011,1375.0,0.02,-0.34,-0.49,-0.62,1.0002,0.9966,0.9951,0.9938
76,Dec-2011,1375.0,0.2,0.11,0.09,0.07,1.002,1.0011,1.0009,1.0007
77,Jan-2012,1416.67,1.18,3.03,3.77,4.34,1.0118,1.0303,1.0377,1.0434
78,Feb-2012,1416.67,0.98,2.53,3.1,3.54,1.0098,1.0253,1.031,1.0354
79,Mar-2012,1416.67,0.54,1.23,1.49,1.68,1.0054,1.0123,1.0149,1.0168
80,Apr-2012,1416.67,0.01,-0.38,-0.52,-0.63,1.0001,0.9962,0.9948,0.9937
81,May-2012,1416.67,-1.38,-4.2,-5.23,-6.0,0.9862,0.958,0.9477,0.94
82,Jun-2012,1416.67,1.04,2.72,3.32,3.77,1.0104,1.0272000000000001,1.0332,1.0377
83,Jul-2012,1416.67,0.37,0.63,0.71,0.75,1.0037,1.0063,1.0071,1.0075
84,Aug-2012,1416.67,0.63,1.57,1.94,2.23,1.0063,1.0157,1.0194,1.0223
85,Sep-2012,1416.67,0.62,1.52,1.87,2.12,1.0062,1.0152,1.0187,1.0212
86,Oct-2012,1416.67,-0.11,-0.45,-0.6,-0.71,0.9989,0.9955,0.994,0.9929
87,Nov-2012,1416.67,0.34,0.77,0.93,1.06,1.0034,1.0077,1.0093,1.0106
88,Dec-2012,1416.67,0.47,1.19,1.48,1.69,1.0047,1.0119,1.0148,1.0169
89,Jan-2013,1458.33,1.1,2.83,3.56,4.11,1.011,1.0283,1.0356,1.0411
90,Feb-2013,1458.33,0.27,0.41,0.49,0.54,1.0027,1.0041,1.0049,1.0054
91,Mar-2013,1458.33,0.73,1.69,2.12,2.44,1.0073,1.0169,1.0212,1.0244
92,Apr-2013,1458.33,0.67,1.58,1.91,2.13,1.0067,1.0158,1.0191,1.0213
93,May-2013,1458.33,0.19,0.33,0.43,0.51,1.0019,1.0033,1.0043,1.0051
94,Jun-2013,1458.33,-0.3,-0.94,-1.2,-1.4,0.997,0.9906,0.988,0.986
95,Jul-2013,1458.33,1.21,2.95,3.72,4.29,1.0121,1.0295,1.0372,1.0429
96,Aug-2013,1458.33,-0.39,-1.22,-1.6,-1.87,0.9961,0.9878,0.984,0.9813
97,Sep-2013,1458.33,1.12,2.71,3.4,3.9,1.0112,1.0271,1.034,1.039
98,Oct-2013,1458.33,1.01,2.23,2.75,3.11,1.0101,1.0223,1.0275,1.0311
99,Nov-2013,1458.33,0.58,1.24,1.54,1.74,1.0058,1.0124,1.0154,1.0174
100,Dec-2013,1458.33,0.58,1.25,1.56,1.77,1.0058,1.0125,1.0156,1.0177
101,Jan-2014,1458.33,-0.42,-1.57,-2.04,-2.35,0.9958,0.9843,0.9796,0.9765
102,Feb-2014,1458.33,1.15,2.73,3.44,3.94,1.0115,1.0273,1.0344,1.0394
103,Mar-2014,1458.33,0.19,0.17,0.14,0.12,1.0019,1.0017,1.0014,1.0012
104,Apr-2014,1458.33,0.31,0.39,0.37,0.32,1.0031,1.0039,1.0037,1.0032
105,May-2014,1458.33,0.64,1.2,1.46,1.63,1.0064,1.012,1.0146,1.0163
106,Jun-2014,1458.33,0.58,1.19,1.52,1.77,1.0058,1.0119,1.0152,1.0177
107,Jul-2014,1458.33,-0.26,-0.97,-1.34,-1.63,0.9974,0.9903,0.9866,0.9837
108,Aug-2014,1458.33,0.84,1.64,2.07,2.4,1.0084,1.0164,1.0207,1.024
109,Sep-2014,1458.33,-0.42,-1.36,-1.84,-2.18,0.9958,0.9863999999999999,0.9816,0.9782
110,Oct-2014,1458.33,0.61,1.09,1.36,1.58,1.0061,1.0109,1.0136,1.0158
111,Nov-2014,1458.33,0.55,1.04,1.27,1.42,1.0055,1.0104,1.0127,1.0142
112,Dec-2014,1458.33,-0.04,-0.5,-0.67,-0.76,0.9996,0.995,0.9933,0.9924
113,Jan-2015,1500.0,-0.08,-0.58,-0.83,-1.02,0.9992,0.9942,0.9917,0.9898
114,Feb-2015,1500.0,1.19,2.95,3.8,4.39,1.0119,1.0295,1.038,1.0439
115,Mar-2015,1500.0,-0.07,-0.44,-0.58,-0.64,0.9993,0.9956,0.9942,0.9936
116,Apr-2015,1500.0,0.37,0.81,0.95,1.0,1.0037,1.0081,1.0095,1.01
117,May-2015,1500.0,0.3,0.5,0.62,0.72,1.003,1.005,1.0062,1.0072
118,Jun-2015,1500.0,-0.33,-0.97,-1.28,-1.46,0.9967,0.9903,0.9872,0.9854
119,Jul-2015,1500.0,0.55,1.03,1.22,1.33,1.0055,1.0103,1.0122,1.0133
120,Aug-2015,1500.0,-1.1,-3.06,-4.04,-4.69,0.989,0.9694,0.9596,0.9531
121,Sep-2015,1500.0,-0.51,-1.67,-2.26,-2.67,0.9949,0.9833,0.9774,0.9733
122,Oct-2015,1500.0,1.64,3.72,4.88,5.58,1.0164,1.0372,1.0488,1.0558
123,Nov-2015,1500.0,0.17,0.17,0.2,0.24,1.0017,1.0017,1.002,1.0024
124,Dec-2015,1500.0,-0.28,-0.92,-1.32,-1.61,0.9972,0.9908,0.9868,0.9839
125,Jan-2016,1500.0,-0.91,-2.55,-3.58,-4.21,0.9909,0.9745,0.9642,0.9579
126,Feb-2016,1500.0,0.01,-0.24,-0.41,-0.51,1.0001,0.9976,0.9959,0.9949
127,Mar-2016,1500.0,1.53,3.35,4.54,5.25,1.0153,1.0335,1.0454,1.0525
128,Apr-2016,1500.0,0.34,0.58,0.75,0.85,1.0034,1.0058,1.0075,1.0085
129,May-2016,1500.0,0.38,0.69,0.91,1.03,1.0038,1.0069,1.0091,1.0103
130,Jun-2016,1500.0,0.11,-0.12,-0.31,-0.43,1.0011,0.9988,0.9969,0.9957
131,Jul-2016,1500.0,1.0,2.01,2.85,3.31,1.01,1.0201,1.0285,1.0331
132,Aug-2016,1500.0,0.13,0.16,0.18,0.2,1.0013,1.0016,1.0018,1.002
133,Sep-2016,1500.0,0.2,0.3,0.38,0.43,1.002,1.003,1.0038,1.0043
134,Oct-2016,1500.0,-0.38,-0.91,-1.39,-1.66,0.9962,0.9909,0.9861,0.9834
135,Nov-2016,1500.0,0.49,1.05,1.57,1.87,1.0049,1.0105,1.0157,1.0187
136,Dec-2016,1500.0,0.64,1.13,1.59,1.82,1.0064,1.0113,1.0159,1.0182
137,Jan-2017,1500.0,0.61,1.04,1.48,1.7,1.0061,1.0104,1.0148,1.017
138,Feb-2017,1500.0,0.77,1.36,1.96,2.25,1.0077,1.0136,1.0196,1.0225
139,Mar-2017,1500.0,0.33,0.48,0.64,0.71,1.0033,1.0048,1.0064,1.0071
140,Apr-2017,1500.0,0.5,0.76,1.07,1.21,1.005,1.0076,1.0107,1.0121
141,May-2017,1500.0,0.55,0.86,1.22,1.38,1.0055,1.0086,1.0122,1.0138
142,Jun-2017,1500.0,0.26,0.35,0.46,0.52,1.0026,1.0035,1.0046,1.0052
143,Jul-2017,1500.0,0.6,0.96,1.42,1.63,1.006,1.0096,1.0142,1.0163
144,Aug-2017,1500.0,0.22,0.21,0.19,0.17,1.0022,1.0021,1.0019,1.0017
145,Sep-2017,1500.0,0.6,1.02,1.6,1.87,1.006,1.0102,1.016,1.0187
146,Oct-2017,1500.0,0.54,0.83,1.27,1.46,1.0054,1.0083,1.0127,1.0146
147,Nov-2017,1500.0,0.62,0.99,1.55,1.8,1.0062,1.0099,1.0155,1.018
148,Dec-2017,1500.0,0.41,0.57,0.81,0.92,1.0041,1.0057,1.0081,1.0092
149,Jan-2018,1541.67,1.1,1.84,3.12,3.66,1.011,1.0184,1.0312,1.0366
150,Feb-2018,1541.67,-0.7,-1.34,-2.48,-2.98,0.993,0.9866,0.9752,0.9702
151,Mar-2018,1541.67,-0.08,-0.33,-0.78,-0.96,0.9992,0.9967,0.9922,0.9904
152,Apr-2018,1541.67,0.3,0.36,0.55,0.62,1.003,1.0036,1.0055,1.0062
153,May-2018,1541.67,0.5,0.66,0.98,1.13,1.005,1.0066,1.0098,1.0113
154,Jun-2018,1541.67,0.19,0.17,0.14,0.13,1.0019,1.0017,1.0014,1.0013
155,Jul-2018,1541.67,0.79,1.12,1.91,2.21,1.0079,1.0112,1.0191,1.0221
156,Aug-2018,1541.67,0.61,0.8,1.28,1.47,1.0061,1.008,1.0128,1.0147
157,Sep-2018,1541.67,0.21,0.22,0.23,0.22,1.0021,1.0022,1.0023,1.0022
158,Oct-2018,1541.67,-1.4,-2.24,-4.6,-5.54,0.986,0.9776,0.954,0.9446
159,Nov-2018,1541.67,0.53,0.65,0.99,1.12,1.0053,1.0065,1.0099,1.0112
160,Dec-2018,1541.67,-1.31,-2.18,-4.64,-5.61,0.9869,0.9782,0.9536,0.9439
161,Jan-2019,1541.67,1.83,2.53,4.92,5.86,1.0183,1.0253,1.0492,1.0586
162,Feb-2019,1541.67,0.8,1.06,2.0,2.36,1.008,1.0106,1.02,1.0236
163,Mar-2019,1541.67,0.52,0.61,0.87,0.96,1.0052,1.0061,1.0087,1.0096
164,Apr-2019,1541.67,0.89,1.16,2.23,2.62,1.0089,1.0116,1.0223,1.0262
165,May-2019,1541.67,-0.98,-1.42,-3.36,-4.06,0.9902,0.9858,0.9664,0.9594
166,Jun-2019,1541.67,1.57,2.04,4.11,4.87,1.0157,1.0204,1.0411,1.0487
167,Jul-2019,1541.67,0.19,0.21,0.21,0.22,1.0019,1.0021,1.0021,1.0022
168,Aug-2019,1541.67,-0.12,-0.24,-0.96,-1.22,0.9988,0.9976,0.9904,0.9878
169,Sep-2019,1541.67,0.51,0.63,1.28,1.5,1.0051,1.0063,1.0128,1.015
