,month,LIncome,L2020,L2030,L2040
0,Aug-2005,1168.65,1168.42,1167.49,1167.49
1,Sep-2005,2347.47,2359.84,2361.47,2365.67
2,Oct-2005,3508.16,3479.26,3469.22,3465.22
3,Nov-2005,4722.98,4758.36,4765.69,4774.56
4,Dec-2005,5924.4,5990.8,6004.74,6019.65
5,Jan-2006,7253.32,7452.23,7501.4,7548.8
6,Feb-2006,8524.58,8708.32,8751.4,8792.65
7,Mar-2006,9840.07,10113.67,10172.42,10241.49
8,Apr-2006,11172.14,11530.71,11607.46,11692.59
9,May-2006,12381.14,12517.43,12542.46,12571.14
10,Jun-2006,13676.13,13805.98,13829.7,13857.07
11,Jul-2006,14999.26,15108.68,15109.86,15126.71
12,Aug-2006,16395.51,16654.77,16680.51,16740.28
13,Sep-2006,17774.32,18114.25,18168.98,18243.94
14,Oct-2006,19222.17,19850.3,19989.9,20133.34
15,Nov-2006,20633.9,21475.88,21671.07,21879.43
16,Dec-2006,22021.77,22991.78,23191.54,23432.43
17,Jan-2007,23460.32,24579.7,24830.87,25102.38
18,Feb-2007,24791.59,25773.06,25994.54,26225.13
19,Mar-2007,26244.97,27357.03,27602.73,27885.52
20,Apr-2007,27834.04,29387.84,29746.79,30134.2
21,May-2007,29393.67,31339.12,31820.63,32302.65
22,Jun-2007,30709.89,32454.58,32847.4,33285.26
23,Jul-2007,31927.95,33155.69,33411.91,33705.59
24,Aug-2007,33422.26,34722.94,35008.97,35312.23
25,Sep-2007,35106.2,36979.8,37422.33,37866.74
26,Oct-2007,36696.33,38975.67,39523.12,40086.46
27,Nov-2007,37820.85,39329.11,39614.83,39987.83
28,Dec-2007,39139.9,40401.43,40648.79,40941.0
29,Jan-2008,40039.39,40067.07,39965.07,39964.78
30,Feb-2008,41240.13,40841.75,40633.76,40513.83
31,Mar-2008,42629.62,42108.14,41849.97,41684.27
32,Apr-2008,44448.35,44801.62,44755.13,44806.71
33,May-2008,46009.88,46660.24,46728.3,46859.01
34,Jun-2008,46606.22,45568.7,45196.39,44924.58
35,Jul-2008,47897.89,46476.12,45990.64,45610.82
36,Aug-2008,49361.72,47844.22,47362.69,46954.08
37,Sep-2008,49766.96,46182.82,45131.78,44217.23
38,Oct-2008,49302.21,42204.82,40202.71,38500.53
39,Nov-2008,50168.89,41795.78,39436.26,37464.36
40,Dec-2008,52083.24,44302.51,42047.51,40162.87
41,Jan-2009,52528.06,43128.71,40517.55,38351.92
42,Feb-2009,52835.78,41735.58,38763.17,36342.18
43,Mar-2009,55327.52,45416.99,42666.88,40387.56
44,Apr-2009,58046.37,49969.17,47653.31,45679.89
45,May-2009,60431.54,53736.81,51700.36,49967.58
46,Jun-2009,61967.23,55188.97,53139.05,51388.79
47,Jul-2009,64571.07,59482.67,57872.11,56462.53
48,Aug-2009,66651.7,62421.71,61036.38,59809.79
49,Sep-2009,68761.39,65474.56,64371.09,63362.97
50,Oct-2009,69954.03,65920.35,64556.09,63346.11
51,Nov-2009,72234.91,69314.21,68271.64,67297.01
52,Dec-2009,74044.21,71749.55,70935.1,70127.85
53,Jan-2010,75079.82,71640.12,70509.58,69443.57
54,Feb-2010,77020.59,74190.67,73279.14,72362.42
55,Mar-2010,79516.64,78399.38,78028.51,77534.89
56,Apr-2010,81296.1,80380.66,80149.9,79738.45
57,May-2010,81431.04,77684.23,76576.34,75459.84
58,Jun-2010,82300.92,77209.25,75628.39,74168.67
59,Jul-2010,85190.45,82372.01,81469.59,80529.55
60,Aug-2010,86020.09,81829.2,80458.67,79177.13
61,Sep-2010,89142.99,87813.71,87373.8,86802.98
62,Oct-2010,91350.76,91231.13,91216.02,90964.4
63,Nov-2010,92679.4,92152.36,92072.51,91748.43
64,Dec-2010,95455.81,97343.28,98082.51,98403.53
65,Jan-2011,97440.84,100050.98,101018.99,101524.65
66,Feb-2011,99705.18,103606.64,105056.23,105935.19
67,Mar-2011,101252.02,104950.14,106378.02,107224.34
68,Apr-2011,103663.55,108845.05,110802.43,112074.52
69,May-2011,104986.03,109404.42,111089.31,112144.85
70,Jun-2011,106169.58,109848.87,111227.2,112044.09
71,Jul-2011,107394.02,110178.37,111194.67,111729.15
72,Aug-2011,107572.56,107437.05,107357.7,107030.46
73,Sep-2011,107302.45,103665.24,102295.72,100979.68
74,Oct-2011,111187.9,111531.72,111632.63,111392.6
75,Nov-2011,112585.41,112522.84,112453.9,112068.44
76,Dec-2011,114188.34,114023.13,113931.34,113522.85
77,Jan-2012,116969.14,118937.63,119696.63,119927.9
78,Feb-2012,119546.0,123399.26,124867.81,125640.17
79,Mar-2012,121615.86,126351.17,128166.12,129191.39
80,Apr-2012,123044.84,127282.32,128908.96,129785.23
81,May-2012,122743.94,123293.63,123509.6,123329.79
82,Jun-2012,125451.88,128102.42,129073.82,129449.4
83,Jul-2012,127337.96,130335.06,131416.98,131847.56
84,Aug-2012,129565.79,133820.23,135410.62,136236.03
85,Sep-2012,131794.55,137292.5,139385.96,140570.93
86,Oct-2012,133064.69,138084.98,139957.81,140979.49
87,Nov-2012,134938.59,140575.81,142689.27,143905.56
88,Dec-2012,136996.13,143682.2,146238.7,147778.18
89,Jan-2013,139977.46,149248.0,152955.05,155370.13
90,Feb-2013,141817.67,151324.23,155170.0,157675.33
91,Mar-2013,144321.91,155364.58,159948.86,163016.52
92,Apr-2013,146756.97,159300.72,164490.06,167978.16
93,May-2013,148496.91,161289.55,166661.97,170300.62
94,Jun-2013,149505.37,161218.05,166102.86,169354.33
95,Jul-2013,152790.36,167475.33,173794.46,178140.52
96,Aug-2013,153647.12,166872.67,172448.75,176240.35
97,Sep-2013,156842.64,172892.77,179819.92,184628.93
98,Oct-2013,159899.8,178239.13,186263.4,191874.57
99,Nov-2013,162294.01,181925.71,190612.65,196696.89
100,Dec-2013,164702.11,185676.34,195067.28,201662.57
101,Jan-2014,165462.56,184196.66,192516.49,198347.56
102,Feb-2014,168840.48,190723.37,200647.55,207678.24
103,Mar-2014,170622.38,192508.41,202388.83,209387.54
104,Apr-2014,172614.16,194723.21,204601.4,211520.57
105,May-2014,175186.55,198535.72,209068.2,216450.46
106,Jun-2014,177669.42,202373.98,213726.53,221765.78
107,Jul-2014,178662.02,201855.13,212301.39,219585.55
108,Aug-2014,181633.36,206647.8,218184.54,226348.94
109,Sep-2014,182322.71,205275.89,215601.44,222841.07
110,Oct-2014,184902.1,208987.62,220011.79,227843.33
111,Nov-2014,187385.41,212634.59,224282.79,232557.74
112,Dec-2014,188768.21,213022.46,224228.65,232237.55
113,Jan-2015,190115.99,213278.23,223855.1,231353.43
114,Feb-2015,193896.22,221114.18,233918.6,243075.69
115,Mar-2015,195259.45,221634.68,234053.17,243010.41
116,Apr-2015,197487.46,224942.07,237790.92,246955.51
117,May-2015,199584.42,227574.28,240774.53,250244.39
118,Jun-2015,200420.84,226852.26,239173.41,248068.92
119,Jul-2015,203031.4,230704.29,243609.63,252888.19
120,Aug-2015,202281.56,225098.84,235207.2,242457.38
121,Sep-2015,202742.27,222814.64,231357.62,237443.72
122,Oct-2015,207591.85,232659.14,244221.07,252276.78
123,Nov-2015,209447.3,234557.21,246212.51,254385.85
124,Dec-2015,210356.65,233885.49,244442.71,251766.08
125,Jan-2016,209928.75,229383.16,237137.96,242603.58
126,Feb-2016,211449.9,230329.04,237659.54,242858.65
127,Mar-2016,216208.03,239595.31,250017.38,257187.48
128,Apr-2016,218448.24,242493.66,253403.77,260886.33
129,May-2016,220784.04,245677.22,257223.39,265088.91
130,Jun-2016,222528.55,246880.61,257921.35,265442.57
131,Jul-2016,226268.84,253373.06,266814.86,275778.37
132,Aug-2016,228064.94,255280.85,268797.82,277832.93
133,Sep-2016,230024.07,257551.2,271324.95,280534.06
134,Oct-2016,230644.28,256693.83,269032.69,277352.29
135,Nov-2016,233281.78,260904.87,274780.05,284066.83
136,Dec-2016,236284.39,265370.04,280672.9,290764.15
137,Jan-2017,239234.87,269645.49,286349.06,297232.64
138,Feb-2017,242588.53,274833.07,293490.9,305454.12
139,Mar-2017,244894.02,277659.47,296878.85,309133.5
140,Apr-2017,247625.99,281281.08,301571.5,314392.16
141,May-2017,250496.19,285212.99,306768.97,320251.48
142,Jun-2017,252651.38,287716.49,309687.01,323424.58
143,Jul-2017,255676.28,291992.97,315605.86,330220.85
144,Aug-2017,257742.07,294109.3,317708.37,332284.78
145,Sep-2017,260797.52,298624.52,324315.7,340026.55
146,Oct-2017,263713.93,302615.55,329953.56,346512.84
147,Nov-2017,266858.26,307126.3,336591.09,354277.07
148,Dec-2017,269458.53,310385.47,340829.63,359050.22
149,Jan-2018,273981.2,317666.6,353053.28,373789.56
150,Feb-2018,273594.21,314930.87,345801.0,364146.36
151,Mar-2018,274915.77,315428.19,344633.39,362177.42
152,Apr-2018,277286.81,318110.95,348079.03,365974.15
153,May-2018,280222.62,321762.32,353046.98,371668.75
154,Jun-2018,282299.65,323853.61,355085.07,373695.59
155,Jul-2018,286083.66,329039.71,363438.31,383530.0
156,Aug-2018,289379.85,333226.03,369651.73,390732.23
157,Sep-2018,291532.45,335504.19,372047.14,393136.9
158,Oct-2018,288971.08,329496.03,356403.73,372813.38
159,Nov-2018,292052.47,333189.45,361489.06,378547.82
160,Dec-2018,289748.06,327433.98,346186.1,358766.47
161,Jan-2019,296620.33,337298.73,364835.98,381422.2
162,Feb-2019,300547.3,342432.11,373705.2,392001.82
163,Mar-2019,303659.83,346072.02,378511.52,397321.51
164,Apr-2019,307917.79,351646.01,388528.37,409313.39
165,May-2019,306426.76,348172.41,376963.69,394174.35
166,Jun-2019,312803.53,356848.25,394061.93,414987.39
167,Jul-2019,314942.46,359142.54,396434.37,417445.42
168,Aug-2019,316104.35,359818.57,394155.47,413875.45
169,Sep-2019,319266.01,363636.81,400762.06,421648.37
170,Oct-2019,323053.34,368063.39,409022.2,431442.25
171,Nov-2019,326899.63,372672.78,417830.85,442076.58
172,Dec-2019,330871.77,377432.69,427047.04,453156.04
173,Jan-2020,332530.02,378981.88,426142.88,451552.1
174,Feb-2020,329079.2,373922.66,407892.07,427879.85
175,Mar-2020,320479.82,362322.38,373810.46,384740.99
176,Apr-2020,330212.84,373430.75,400645.2,417370.7
177,May-2020,335913.48,379952.86,415348.0,435238.49
178,Jun-2020,339988.33,381577.86,424519.38,446193.15
179,Jul-2020,345406.61,383202.86,438147.59,462810.65
