month,FERS,FERS_Roth,CSRS,CSRS_Roth,US,US_Roth,BRS,BRS_Roth,Bene,Bene_Roth
Jan-18,142395,12092,146105,18475,23813,6914,9194,7013,22146,NaN
Feb-18,139167,11813,143526,18137,23462,6854,8062,6347,106892,NaN
Mar-18,138096,11789,142544,18143,23461,6900,6587,5709,106841,NaN
Apr-18,138607,11945,143125,18355,23726,7059,6820,5623,106841,NaN
May-18,140387,12249,145061,18826,24198,7285,6701,5604,106841,NaN
Jun-18,140639,12414,145713,19191,24414,7439,6550,5563,106841,NaN
Jul-18,143048,12778,148247,19679,25021,7730,6593,5664,110389,NaN
Aug-18,145300,13099,150881,20104,25622,8013,6526,5671,111916,8668
Sep-18,145164,13186,151171,20284,25683,8117,6380,5588,112148,8561
Oct-18,138271,12552,145715,19526,24525,7833,5897,5219,110459,8166
Nov-18,139560,12832,147154,19900,24988,8080,5897,5199,111332,8267
Dec-18,132874,12209,141094,18991,23981,7852,5298,4716,107555,8056
Jan-19,138933,12952,146642,19905,25602,8487,5516,4948,110600,8556
Feb-19,141576,13336,149233,20483,26408,8848,5381,5016,111511,8672